as_of,value,status
1990-01-01,1388.08,ok
1990-02-01,961.096,ok
1990-03-01,1588.29,ok
1990-04-01,675.608,ok
1990-05-01,1107.9,ok
1990-06-01,511.616,ok
1990-07-01,884.388,ok
1990-08-01,614.238,ok
1990-09-01,715.552,ok
1990-10-01,469.273,ok
1990-11-01,437.036,ok
1990-12-01,568.432,ok
1991-01-01,2037.04,ok
1991-02-01,585.89,ok
1991-03-01,835.83,ok
1991-04-01,789.688,ok
1991-05-01,625.66,ok
1991-06-01,659.753,ok
1991-07-01,679.915,ok
1991-08-01,595.86,ok
1991-09-01,1005,ok
1991-10-01,730.5,ok
1991-11-01,644.5,ok
1991-12-01,612.364,ok
1992-01-01,553.572,ok
1992-02-01,995.782,ok
1992-03-01,437.721,ok
1992-04-01,854.58,ok
1992-05-01,631.821,ok
1992-06-01,784.251,ok
1992-07-01,671.791,ok
1992-08-01,795.187,ok
1992-09-01,663.716,ok
1992-10-01,692.898,ok
1992-11-01,907.829,ok
1992-12-01,920.254,ok
1993-01-01,1088.86,ok
1993-02-01,447.291,ok
1993-03-01,718.223,ok
1993-04-01,568.824,ok
1993-05-01,593.882,ok
1993-06-01,837.304,ok
1993-07-01,674.538,ok
1993-08-01,630.765,ok
1993-09-01,490.175,ok
1993-10-01,923.18,ok
1993-11-01,548.244,ok
1993-12-01,498.778,ok
1994-01-01,461.43,ok
1994-02-01,583.665,ok
1994-03-01,971.105,ok
1994-04-01,860.882,ok
1994-05-01,790.025,ok
1994-06-01,735.392,ok
1994-07-01,757.997,ok
1994-08-01,814.253,ok
1994-09-01,778.314,ok
1994-10-01,620.743,ok
1994-11-01,827.189,ok
1994-12-01,793.246,ok
1995-01-01,479.24,ok
1995-02-01,685.495,ok
1995-03-01,640.763,ok
1995-04-01,575.125,ok
1995-05-01,710.438,ok
1995-06-01,621.591,ok
1995-07-01,809.316,ok
1995-08-01,795.463,ok
1995-09-01,731.689,ok
1995-10-01,881.342,ok
1995-11-01,888.004,ok
1995-12-01,965.69,ok
1996-01-01,801.007,ok
1996-02-01,585.723,ok
1996-03-01,651.722,ok
1996-04-01,857.065,ok
1996-05-01,1021.4,ok
1996-06-01,782.241,ok
1996-07-01,1118.81,ok
1996-08-01,766.245,ok
1996-09-01,775.572,ok
1996-10-01,1126.01,ok
1996-11-01,751.227,ok
1996-12-01,725.679,ok
1997-01-01,876.124,ok
1997-02-01,952.732,ok
1997-03-01,1353.7,ok
1997-04-01,1086.38,ok
1997-05-01,900.097,ok
1997-06-01,1146.1,ok
1997-07-01,950.987,ok
1997-08-01,1154.96,ok
1997-09-01,1347.73,ok
1997-10-01,1241.71,ok
1997-11-01,1124.26,ok
1997-12-01,1152.88,ok
1998-01-01,480.291,ok
1998-02-01,1292.04,ok
1998-03-01,1287.7,ok
1998-04-01,1299.94,ok
1998-05-01,1040.66,ok
1998-06-01,1150.47,ok
1998-07-01,1542.59,ok
1998-08-01,1162.95,ok
1998-09-01,1580.26,ok
1998-10-01,1364.36,ok
1998-11-01,1688.84,ok
1998-12-01,1487.4,ok
1999-01-01,1307.73,ok
1999-02-01,1353.63,ok
1999-03-01,753.555,ok
1999-04-01,950.381,ok
1999-05-01,962.402,ok
1999-06-01,1471.2,ok
1999-07-01,772.733,ok
1999-08-01,1335,ok
1999-09-01,1404.52,ok
1999-10-01,1028.56,ok
1999-11-01,801.257,ok
1999-12-01,1128.26,ok
2000-01-01,1408.03,ok
2000-02-01,1325.56,ok
2000-03-01,1035.45,ok
2000-04-01,862.737,ok
2000-05-01,1060.42,ok
2000-06-01,1299.85,ok
2000-07-01,965.202,ok
2000-08-01,1179.52,ok
2000-09-01,1063.14,ok
2000-10-01,1502.15,ok
2000-11-01,1378.14,ok
2000-12-01,981.148,ok
2001-01-01,1752.82,ok
2001-02-01,943.655,ok
2001-03-01,876.441,ok
2001-04-01,1106.1,ok
2001-05-01,1049.15,ok
2001-06-01,960.56,ok
2001-07-01,739.588,ok
2001-08-01,926.382,ok
2001-09-01,494.568,ok
2001-10-01,797.314,ok
2001-11-01,622.926,ok
2001-12-01,748.164,ok
2002-01-01,764.985,ok
2002-02-01,1198.64,ok
2002-03-01,1420.8,ok
2002-04-01,1239.47,ok
2002-05-01,899.513,ok
2002-06-01,777.117,ok
2002-07-01,790.3,ok
2002-08-01,835.299,ok
2002-09-01,1214.37,ok
2002-10-01,980.153,ok
2002-11-01,898.578,ok
2002-12-01,1289.88,ok
2003-01-01,1140.96,ok
2003-02-01,1070.44,ok
2003-03-01,947.311,ok
2003-04-01,1182.03,ok
2003-05-01,1395.94,ok
2003-06-01,905.53,ok
2003-07-01,1736.78,ok
2003-08-01,1035.47,ok
2003-09-01,1222.21,ok
2003-10-01,1816.94,ok
2003-11-01,1280.91,ok
2003-12-01,872.505,ok
2004-01-01,1422.26,ok
2004-02-01,708.335,ok
2004-03-01,1138.89,ok
2004-04-01,1140.96,ok
2004-05-01,1410.26,ok
2004-06-01,1290.71,ok
2004-07-01,1454.29,ok
2004-08-01,1720.55,ok
2004-09-01,958.733,ok
2004-10-01,1077.35,ok
2004-11-01,1494.29,ok
2004-12-01,1281.34,ok
2005-01-01,787.09,ok
2005-02-01,947.914,ok
2005-03-01,1105.04,ok
2005-04-01,1180.85,ok
2005-05-01,1272.47,ok
2005-06-01,1325.36,ok
2005-07-01,1249.6,ok
2005-08-01,1072.44,ok
2005-09-01,1967.28,ok
2005-10-01,1055.82,ok
2005-11-01,1778.25,ok
2005-12-01,1053.51,ok
2006-01-01,1110.55,ok
2006-02-01,1660.9,ok
2006-03-01,1603.45,ok
2006-04-01,789.324,ok
2006-05-01,1979.78,ok
2006-06-01,1203.41,ok
2006-07-01,580.473,ok
2006-08-01,1110.87,ok
2006-09-01,869.698,ok
2006-10-01,930.928,ok
2006-11-01,801.37,ok
2006-12-01,842.99,ok
2007-01-01,818.583,ok
2007-02-01,770.253,ok
2007-03-01,1076.25,ok
2007-04-01,907.937,ok
2007-05-01,905.465,ok
2007-06-01,627.857,ok
2007-07-01,1049.61,ok
2007-08-01,888.648,ok
2007-09-01,667.644,ok
2007-10-01,617.933,ok
2007-11-01,566.846,ok
2007-12-01,893.88,ok
2008-01-01,1493.56,ok
2008-02-01,597.813,ok
2008-03-01,528.271,ok
2008-04-01,1381.79,ok
2008-05-01,348.018,ok
2008-06-01,358.191,ok
2008-07-01,522.76,ok
2008-08-01,309.392,ok
2008-09-01,490.147,ok
2008-10-01,288.039,ok
2008-11-01,625.18,ok
2008-12-01,392.726,ok
2009-01-01,211.908,ok
2009-02-01,383.268,ok
2009-03-01,297.626,ok
2009-04-01,273.597,ok
2009-05-01,246.341,ok
2009-06-01,290.203,ok
2009-07-01,210.249,ok
2009-08-01,264.502,ok
2009-09-01,238.764,ok
2009-10-01,383.122,ok
2009-11-01,325.824,ok
2009-12-01,344.106,ok
2010-01-01,287.12,ok
2010-02-01,681.173,ok
2010-03-01,343.941,ok
2010-04-01,389.505,ok
2010-05-01,331.14,ok
2010-06-01,505.07,ok
2010-07-01,247.649,ok
2010-08-01,196.52,ok
2010-09-01,484.137,ok
2010-10-01,287.238,ok
2010-11-01,252.744,ok
2010-12-01,650.878,ok
2011-01-01,561.338,ok
2011-02-01,289.877,ok
2011-03-01,268.646,ok
2011-04-01,281.578,ok
2011-05-01,446.819,ok
2011-06-01,1033.56,ok
2011-07-01,211.37,ok
2011-08-01,870.77,ok
2011-09-01,399.709,ok
2011-10-01,354.807,ok
2011-11-01,535.699,ok
2011-12-01,290.647,ok
2012-01-01,389.989,ok
2012-02-01,330.971,ok
2012-03-01,568.978,ok
2012-04-01,429.523,ok
2012-05-01,494.574,ok
2012-06-01,700.843,ok
2012-07-01,1348.71,ok
2012-08-01,1042.78,ok
2012-09-01,1163.45,ok
2012-10-01,756.695,ok
2012-11-01,499.778,ok
2012-12-01,776.451,ok
2013-01-01,1222.48,ok
2013-02-01,969.014,ok
2013-03-01,422.638,ok
2013-04-01,1038.24,ok
2013-05-01,1800.01,ok
2013-06-01,514.443,ok
2013-07-01,649.495,ok
2013-08-01,1155.68,ok
2013-09-01,403.202,ok
2013-10-01,1118.86,ok
2013-11-01,895.113,ok
2013-12-01,734.425,ok
2014-01-01,432.383,ok
2014-02-01,495.968,ok
2014-03-01,923.685,ok
2014-04-01,888.041,ok
2014-05-01,699.014,ok
2014-06-01,606.948,ok
2014-07-01,1206.89,ok
2014-08-01,378.677,ok
2014-09-01,1026.54,ok
2014-10-01,1162.79,ok
2014-11-01,707.064,ok
2014-12-01,882.636,ok
2015-01-01,685.213,ok
2015-02-01,839.124,ok
2015-03-01,1185.98,ok
2015-04-01,1092.86,ok
2015-05-01,1010.41,ok
2015-06-01,1391.05,ok
2015-07-01,1126.17,ok
2015-08-01,1015.39,ok
2015-09-01,839.388,ok
2015-10-01,821.886,ok
2015-11-01,910.073,ok
2015-12-01,1207.77,ok
2016-01-01,1121.08,ok
2016-02-01,1695.7,ok
2016-03-01,1246.11,ok
2016-04-01,681.914,ok
2016-05-01,2101.93,ok
2016-06-01,944.73,ok
2016-07-01,843.028,ok
2016-08-01,717.762,ok
2016-09-01,1967.92,ok
2016-10-01,1175.16,ok
2016-11-01,1714.76,ok
2016-12-01,1172.49,ok
2017-01-01,1103.66,ok
2017-02-01,1238.81,ok
2017-03-01,978.297,ok
2017-04-01,1310.57,ok
2017-05-01,1504.32,ok
2017-06-01,2304.55,ok
2017-07-01,1464.52,ok
2017-08-01,1404.35,ok
2017-09-01,1050.61,ok
2017-10-01,1378.98,ok
2017-11-01,1428.22,ok
2017-12-01,1565.88,ok
2018-01-01,1170.1,ok
2018-02-01,1653.4,ok
2018-03-01,2022.94,ok
2018-04-01,1601.44,ok
2018-05-01,1197.75,ok
2018-06-01,1016.69,ok
2018-07-01,1074.43,ok
2018-08-01,1622,ok
2018-09-01,868.068,ok
2018-10-01,1168.52,ok
2018-11-01,755.754,ok
2018-12-01,2280.93,ok
2019-01-01,1836.1,ok
2019-02-01,1195.71,ok
2019-03-01,1152.53,ok
2019-04-01,1226.52,ok
2019-05-01,1064.58,ok
2019-06-01,1140.91,ok
